"","","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","","","",""
"Les attentes et les objectifs sont clairement définis","La structure du cours sur GitHub est cohérente, facile d'accès et permet de retrouver rapidement les informations que je cherche","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les exemples et les exercices sont pertinents et adaptés à mon niveau","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","Je me sens capable de réaliser un programme Java simple qui interagit avec l'utilisatrice.","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié... ","J'ai moins apprécié et je propose... ","Compilation & Exécution","Variables & Constantes","Types","UML","Sélection (if/else)","Itération (while/for/foreach)","Fonctions","Tableaux","Bibliothèques","Autres remarques et commentaires "
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Les parties théorie puis exercice en autonome avec assistance du prof ","","","","","","","","","","X",""
"Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Pas du tout d'accord ★☆☆☆","Plutôt d'accord ★★★☆","Que l’enseignant fait de son mieux pour nous faire comprendre une matière difficile et pas appréciée.","Qu’on passe rapidement sur la théorie et que l’ont pratique qu’avec des exercices (ça serait cool de trouver un autre moyen de pratiquer le code, peut avec des logiciels ou jeux).","","X","","","","","X","","X","j’ai du mal à structurer mon code (syntaxe/vocabulaire), cela serait bien si on pouvait avoir une sorte de feuille de voc (meme si la doc est disponible). Une feuille de vocabulaire compressé avec le mot en java et sa ""traduction""/definition en français à côté."
"Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","","","","","","","","","","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","D’avoir la deuxième partie du cours en autonome est vraiment génial. Mais je pense que à la fin du cette partie il faut faire la correction de 2-3 exercices qui ont posé le plus de difficultés :)","Faire quelques exercices ensemble à la fin, c’est mieux que c’est un des élève qui le fasse. Comme ça la deuxième partie du cours pourra être plus interactive. ","","","","X","","","","","X","Après la partie théorique, pendant la partie exercice je trouve que ce serait très intéressant de demander à un élève au hasard d’expliquer au tableau une des exercices. (Avec l’aide de professeur si besoin ). "
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas du tout d'accord ★☆☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","La vulgarisation du code qui est parfois complexe, l'écoute active de l'enseignement pour répondre aux besoin des élèves","La redondance des explications et le rythme du cours parfois trop lent qui pourrait faire décrocher certaines personnes.

-> Faire du live coding au tableau en interaction avec les élèves 
-> Pour un exercice plus complet, faire comme un projet open source où chacun amène sa pierre à l'édifice.","","","","","","","","","","Merci pour ce trimestre et bonne idée de proposer un sondage 👍🏻"
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Lorsqu'il y avait des questions en classe, la réponse était toujours claire et les explications compréhensibles. La structure des exercices est bien car on peut expérimenter avec tout ce qui a été enseigné pendant la leçon.","Je pense que le segment de présentation peut être un peu plus long quitte à ce qu'il y ait moins d'exercices. Il serait intéressant d'avoir des exemples plus complets et proches de ce qui est attendu dans les exercices afin d'illustrer ce qui a été expliqué dans la théorie : peut être en fin de présentation proposer un exemple à faire tous ensemble et partager ensuite le code sur le canal teams.","","","","","","","","X","X","-"
"Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","","","","","","","","X",""
"Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La simplicité avec laquelle est présentée la théorie","","","","","","","","","","","Vous faites de votre mieux pour présenter les cours meme si je suis conscient que parfois vous peinez à trouver les mots justes pour tout expliquer "
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Je trouve que la partie théorique courte et la pratique plus présente permet de comprendre les notions plus facilement","Je pense qu'il faudrait plus d'exercice qui évoluent, donc des exercices basiques sur la théorie apprise au début, puis le niveau qui se corce.","","","","","","","","X","",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","L'investissement porté aux questions des élèves","","","","","","","","","","",""
